quadratid,region,folder,mask_patches,mask_stitched,height,width,mask_height,mask_width,other_pixels,hard_coral_pixels,soft_coral_pixels,seaview_split,points_selection_method,point_labels_count,comparison_status,class_label_comparison,points_mismatch_count,hard_coral_mismatch_count,soft_coral_mismatch_count,points_mismatch_percent,hard_coral_mismatch_percent,soft_coral_mismatch_percent
17001652802,ATL,SEAVIEW_ATL,41,1,1031,1031,1031,1031,1749687,740922,698274,train,random,100,SUCCESS,Mismatch,6,2,4,6,2,4
17001738002,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,1961490,1146417,80976,test,random,50,SUCCESS,Mismatch,14,13,0,28,26,0
17001738102,ATL,SEAVIEW_ATL,23,1,1031,1031,1031,1031,2069139,826866,292878,test,random,50,SUCCESS,Mismatch,2,1,0,4,2,0
17001738302,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2496000,692883,0,test,random,50,SUCCESS,Mismatch,3,2,0,6,4,0
17001738402,ATL,SEAVIEW_ATL,20,1,1031,1031,1031,1031,2266236,922647,0,test,random,50,SUCCESS,Mismatch,8,5,0,16,10,0
17001738602,ATL,SEAVIEW_ATL,5,1,1031,1031,1031,1031,2059614,687285,441984,test,random,50,SUCCESS,Mismatch,6,1,3,12,2,6
17001738502,ATL,SEAVIEW_ATL,27,1,1031,1031,1031,1031,1863633,615840,709410,test,random,50,SUCCESS,Mismatch,1,0,1,2,0,2
17001738202,ATL,SEAVIEW_ATL,1,1,1031,1031,1031,1031,2723616,465267,0,test,random,50,SUCCESS,Mismatch,3,1,0,6,2,0
17001738702,ATL,SEAVIEW_ATL,40,1,1031,1031,1031,1031,2218782,768579,201522,test,random,50,SUCCESS,Mismatch,10,7,0,20,14,0
17001738902,ATL,SEAVIEW_ATL,15,1,1031,1031,1031,1031,1967238,538134,683511,test,random,50,SUCCESS,Mismatch,3,1,0,6,2,0
17001739002,ATL,SEAVIEW_ATL,37,1,1031,1031,1031,1031,2294010,555660,339213,test,random,50,SUCCESS,Mismatch,5,1,2,10,2,4
17001739502,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2598045,508959,81879,test,random,50,SUCCESS,Mismatch,7,1,0,14,2,0
17001739702,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2107122,591948,489813,test,random,50,SUCCESS,Mismatch,4,2,0,8,4,0
17001739802,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2591289,565608,31986,test,random,50,SUCCESS,Mismatch,7,4,0,14,8,0
17001740202,ATL,SEAVIEW_ATL,2,1,1031,1031,1031,1031,2047482,519078,622323,test,random,50,SUCCESS,Mismatch,3,0,0,6,0,0
17001740802,ATL,SEAVIEW_ATL,24,1,1031,1031,1031,1031,1755429,1433454,0,test,random,50,SUCCESS,Mismatch,7,5,0,14,10,0
17001740402,ATL,SEAVIEW_ATL,25,1,1031,1031,1031,1031,2193816,962064,33003,test,random,50,SUCCESS,Mismatch,4,4,0,8,8,0
